TransactionID,ProductID,CustomerID,Date,Quantity,UnitPrice,StoreID
T100040,P0036,C0452,2025-01-24,4,1051,S04
T100041,P0097,C0238,2025-05-11,5,938,S10
T100042,P0086,C0195,2025-03-29,3,979,S01
T100043,P0064,C0436,2025-06-20,3,920,S03
T100044,P0063,C0109,2025-02-21,3,735,S05
T100045,P0044,C0144,2025-03-22,5,1062,S05
T100046,P0072,C0006,2025-03-08,5,381,S04
T100047,P0011,C0124,2025-06-22,4,1201,S08
T100048,P0072,C0389,2025-02-25,2,381,S08
T100049,P0083,C0365,2025-06-21,4,1127,S08
T100050,P0003,C0048,2025-05-24,3,500,S04
T100051,P0052,C0355,2025-06-23,2,879,S05
T100052,P0085,C0298,2025-05-25,3,696,S08
T100053,P0071,C0272,2025-07-08,3,1040,S07
T100054,P0096,C0282,2025-02-11,3,368,S06
T100055,P0090,C0233,2025-07-06,3,1275,S05
T100056,P0033,C0119,2025-02-16,1,613,S04
T100057,P0041,C0062,2025-04-15,5,266,S03
T100058,P0025,C0111,2025-03-07,4,1059,S05
T100059,P0093,C0302,2025-01-26,5,534,S10
T100060,P0037,C0052,2025-06-04,2,975,S05
T100061,P0030,C0185,2025-01-17,2,500,S05
T100062,P0002,C0363,2025-02-27,5,736,S03
T100063,P0036,C0024,2025-04-16,1,1051,S09
T100064,P0038,C0358,2025-07-01,2,1234,S08
T100065,P0014,C0447,2025-05-23,1,956,S10
T100066,P0037,C0241,2025-05-21,4,975,S08
T100067,P0044,C0095,2025-05-21,1,1062,S05
T100068,P0062,C0059,2025-02-24,1,735,S07
T100069,P0063,C0038,2025-05-07,5,735,S01
T100070,P0020,C0077,2025-05-11,5,1310,S05
T100071,P0011,C0128,2025-04-25,1,1201,S09
T100072,P0098,C0214,2025-05-04,5,782,S10
T100073,P0080,C0116,2025-05-26,5,683,S07
T100074,P0058,C0466,2025-04-02,4,1052,S05
T100075,P0076,C0220,2025-05-24,3,198,S10
T100076,P0080,C0031,2025-04-11,5,683,S02
T100077,P0098,C0107,2025-04-11,2,782,S05
T100078,P0085,C0042,2025-06-21,2,696,S04
T100079,P0023,C0283,2025-07-08,1,322,S03
T100080,P0001,C0210,2025-01-15,4,401,S10
T100081,P0061,C0150,2025-05-17,1,716,S04
T100082,P0037,C0362,2025-06-25,3,975,S08
T100083,P0010,C0352,2025-01-24,2,846,S05
T100084,P0081,C0302,2025-05-02,2,856,S07
T100085,P0015,C0279,2025-05-06,2,1074,S03
T100086,P0035,C0424,2025-05-04,2,349,S02
T100087,P0008,C0085,2025-02-25,3,778,S10
T100088,P0096,C0423,2025-07-05,5,368,S05
T100089,P0057,C0064,2025-03-09,4,596,S05
T100090,P0090,C0207,2025-03-09,3,1275,S09
T100091,P0070,C0253,2025-05-21,4,947,S02
T100092,P0077,C0021,2025-01-23,4,1210,S06
T100093,P0078,C0129,2025-04-04,1,896,S02
T100094,P0030,C0493,2025-05-27,5,500,S10
T100095,P0003,C0392,2025-05-12,3,500,S10
T100096,P0006,C0391,2025-02-17,2,793,S08
T100097,P0067,C0334,2025-03-26,4,305,S05
T100098,P0024,C0300,2025-05-01,4,572,S08
T100099,P0012,C0241,2025-02-15,3,623,S07
T100100,P0043,C0165,2025-07-09,1,716,S03
T100101,P0043,C0211,2025-06-20,4,716,S05
T100102,P0085,C0484,2025-06-07,4,696,S09
T100103,P0005,C0233,2025-01-17,1,711,S06
T100104,P0033,C0166,2025-06-05,1,613,S07
T100105,P0066,C0423,2025-06-24,1,665,S09
T100106,P0060,C0212,2025-03-25,1,810,S04
T100107,P0067,C0186,2025-02-20,5,305,S08
T100108,P0081,C0227,2025-02-03,1,856,S04
T100109,P0035,C0282,2025-03-08,2,349,S05
T100110,P0057,C0451,2025-04-22,4,596,S02
T100111,P0004,C0499,2025-05-13,5,1294,S04
T100112,P0091,C0082,2025-02-09,3,1045,S09
T100113,P0002,C0283,2025-03-04,4,736,S02
T100114,P0029,C0431,2025-05-30,1,323,S08
T100115,P0016,C0332,2025-04-05,2,809,S08
T100116,P0092,C0150,2025-02-16,5,1212,S05
T100117,P0054,C0428,2025-03-29,4,1115,S08
T100118,P0032,C0234,2025-03-04,5,302,S03
T100119,P0050,C0098,2025-06-23,5,1276,S09
T100120,P0096,C0451,2025-02-24,2,368,S02
T100121,P0036,C0396,2025-03-07,4,1051,S06
T100122,P0065,C0137,2025-06-22,1,1005,S05
T100123,P0093,C0153,2025-06-20,5,534,S10
T100124,P0085,C0251,2025-02-05,2,696,S08
T100125,P0069,C0248,2025-02-17,3,984,S06
T100126,P0071,C0391,2025-02-25,5,1040,S07
T100127,P0059,C0478,2025-05-02,3,626,S04
T100128,P0090,C0123,2025-07-01,5,1275,S07
T100129,P0030,C0439,2025-06-02,4,500,S01
T100130,P0041,C0382,2025-03-20,4,266,S07
T100131,P0050,C0340,2025-01-23,2,1276,S08
T100132,P0005,C0065,2025-06-07,5,711,S10
T100133,P0043,C0446,2025-04-10,1,716,S08
T100134,P0013,C0270,2025-01-28,4,963,S01
T100135,P0093,C0074,2025-03-13,4,534,S03
T100136,P0010,C0241,2025-03-13,3,846,S06
T100137,P0080,C0355,2025-05-05,4,683,S02
T100138,P0043,C0437,2025-07-07,5,716,S07
T100139,P0041,C0321,2025-04-11,4,266,S09
T100140,P0005,C0317,2025-05-28,1,711,S04
T100141,P0081,C0351,2025-01-15,3,856,S04
T100142,P0096,C0047,2025-01-22,4,368,S02
T100143,P0098,C0325,2025-01-28,1,782,S08
T100144,P0022,C0356,2025-07-03,3,882,S01
T100145,P0006,C0167,2025-02-19,1,793,S05
T100146,P0046,C0192,2025-06-29,4,882,S03
T100147,P0032,C0272,2025-02-25,4,302,S10
T100148,P0088,C0406,2025-05-15,2,1144,S03
T100149,P0023,C0041,2025-04-17,5,322,S07
T100150,P0080,C0350,2025-04-05,2,683,S08
T100151,P0075,C0074,2025-04-09,2,582,S08
T100152,P0082,C0131,2025-01-25,4,697,S05
T100153,P0086,C0005,2025-01-13,4,979,S05
T100154,P0087,C0280,2025-04-30,2,1149,S02
T100155,P0057,C0484,2025-07-07,3,596,S10
T100156,P0039,C0328,2025-04-21,4,996,S05
T100157,P0059,C0433,2025-06-13,3,626,S04
T100158,P0050,C0437,2025-01-12,4,1276,S02
T100159,P0031,C0196,2025-06-04,5,1090,S06
T100160,P0074,C0152,2025-02-11,3,1372,S01
T100161,P0085,C0203,2025-05-06,3,696,S01
T100162,P0073,C0443,2025-03-15,1,1115,S10
T100163,P0096,C0255,2025-04-25,3,368,S04
T100164,P0078,C0411,2025-04-09,3,896,S04
T100165,P0082,C0098,2025-05-17,5,697,S05
T100166,P0087,C0387,2025-06-10,2,1149,S02
T100167,P0081,C0331,2025-06-16,1,856,S05
T100168,P0057,C0018,2025-03-01,5,596,S06
T100169,P0094,C0068,2025-02-28,1,1026,S05
T100170,P0042,C0383,2025-03-02,4,981,S03
T100171,P0026,C0068,2025-01-24,5,1235,S06
T100172,P0068,C0257,2025-05-07,3,992,S03
T100173,P0033,C0468,2025-06-01,4,613,S05
T100174,P0096,C0446,2025-03-30,3,368,S02
T100175,P0060,C0494,2025-04-08,1,810,S03
T100176,P0097,C0495,2025-01-13,2,938,S07
T100177,P0072,C0188,2025-02-02,1,381,S07
T100178,P0002,C0136,2025-03-22,5,736,S02
T100179,P0059,C0189,2025-04-17,3,626,S10
T100180,P0049,C0422,2025-05-03,3,614,S02
T100181,P0087,C0120,2025-06-04,4,1149,S01
T100182,P0080,C0453,2025-05-11,5,683,S06
T100183,P0079,C0114,2025-06-27,1,1241,S08
T100184,P0090,C0155,2025-07-02,4,1275,S02
T100185,P0018,C0024,2025-02-02,1,673,S05
T100186,P0064,C0060,2025-05-21,1,920,S04
T100187,P0069,C0070,2025-03-18,4,984,S08
T100188,P0048,C0344,2025-05-19,5,628,S07
T100189,P0076,C0381,2025-03-28,2,198,S07
T100190,P0084,C0051,2025-01-12,4,847,S10
T100191,P0053,C0481,2025-06-05,3,982,S01
T100192,P0089,C0190,2025-07-02,2,939,S08
T100193,P0057,C0487,2025-05-03,2,596,S06
T100194,P0013,C0352,2025-04-01,3,963,S09
T100195,P0083,C0184,2025-04-20,1,1127,S07
T100196,P0036,C0098,2025-04-04,1,1051,S08
T100197,P0012,C0340,2025-06-01,2,623,S10
T100198,P0003,C0026,2025-04-09,3,500,S04
T100199,P0017,C0403,2025-03-04,5,463,S04
T100200,P0009,C0425,2025-07-04,5,915,S04
T100201,P0076,C0111,2025-05-07,2,198,S06
T100202,P0100,C0076,2025-04-30,5,1217,S01
T100203,P0036,C0440,2025-05-01,2,1051,S03
T100204,P0070,C0129,2025-04-29,2,947,S02
T100205,P0085,C0444,2025-04-19,1,696,S03
T100206,P0002,C0184,2025-04-02,2,736,S10
T100207,P0042,C0009,2025-06-08,2,981,S05
T100208,P0007,C0065,2025-02-26,4,563,S09
T100209,P0015,C0382,2025-06-26,1,1074,S08
T100210,P0058,C0399,2025-05-07,3,1052,S09
T100211,P0076,C0056,2025-06-19,4,198,S09
T100212,P0029,C0485,2025-05-10,5,323,S01
T100213,P0094,C0402,2025-02-03,5,1026,S05
T100214,P0059,C0330,2025-06-07,1,626,S01
T100215,P0062,C0434,2025-03-13,4,735,S07
T100216,P0088,C0056,2025-06-22,4,1144,S08
T100217,P0010,C0461,2025-07-03,1,846,S06
T100218,P0078,C0076,2025-03-09,1,896,S03
T100219,P0036,C0320,2025-07-10,5,1051,S09
T100220,P0092,C0167,2025-07-02,4,1212,S10
T100221,P0068,C0151,2025-03-13,4,992,S09
T100222,P0078,C0221,2025-01-22,1,896,S02
T100223,P0084,C0334,2025-03-05,5,847,S04
T100224,P0056,C0232,2025-06-02,2,474,S07
T100225,P0044,C0424,2025-03-01,4,1062,S07
T100226,P0054,C0374,2025-06-18,1,1115,S06
T100227,P0055,C0161,2025-01-26,3,732,S06
T100228,P0020,C0352,2025-03-19,4,1310,S02
T100229,P0012,C0426,2025-07-08,1,623,S02
T100230,P0056,C0050,2025-07-08,3,474,S03
T100231,P0072,C0031,2025-03-12,5,381,S09
T100232,P0072,C0169,2025-01-19,1,381,S07
T100233,P0046,C0448,2025-05-31,4,882,S01
T100234,P0037,C0308,2025-06-15,3,975,S06
T100235,P0014,C0296,2025-06-07,5,956,S04
T100236,P0020,C0337,2025-05-06,4,1310,S04
T100237,P0014,C0180,2025-02-07,5,956,S06
T100238,P0015,C0391,2025-05-12,3,1074,S10
T100239,P0029,C0414,2025-03-23,4,323,S09
T100240,P0099,C0420,2025-07-04,5,839,S10
T100241,P0087,C0330,2025-01-14,5,1149,S01
T100242,P0078,C0476,2025-05-23,3,896,S01
T100243,P0024,C0140,2025-06-21,3,572,S06
T100244,P0045,C0004,2025-04-22,2,772,S03
T100245,P0073,C0337,2025-01-20,4,1115,S02
T100246,P0019,C0380,2025-06-24,1,1281,S02
T100247,P0096,C0272,2025-02-09,2,368,S07
T100248,P0054,C0233,2025-04-07,3,1115,S03
T100249,P0048,C0160,2025-04-12,3,628,S10
T100250,P0077,C0044,2025-03-15,1,1210,S03
T100251,P0021,C0387,2025-05-30,5,1251,S01
T100252,P0087,C0042,2025-02-06,3,1149,S08
T100253,P0085,C0218,2025-04-24,4,696,S10
T100254,P0057,C0213,2025-05-30,3,596,S04
T100255,P0097,C0263,2025-05-16,1,938,S06
T100256,P0056,C0057,2025-01-28,3,474,S10
T100257,P0063,C0270,2025-07-07,3,735,S01
T100258,P0029,C0203,2025-04-08,5,323,S01
T100259,P0001,C0105,2025-05-05,3,401,S04
T100260,P0099,C0071,2025-06-11,3,839,S05
T100261,P0042,C0062,2025-05-06,1,981,S08
T100262,P0096,C0221,2025-05-07,2,368,S03
T100263,P0049,C0273,2025-05-28,2,614,S09
T100264,P0072,C0427,2025-05-17,3,381,S02
T100265,P0051,C0442,2025-03-19,1,237,S07
T100266,P0003,C0236,2025-03-20,1,500,S06
T100267,P0074,C0220,2025-05-22,5,1372,S07
T100268,P0091,C0328,2025-05-29,4,1045,S05
T100269,P0015,C0208,2025-03-14,1,1074,S06
T100270,P0022,C0411,2025-05-22,5,882,S08
T100271,P0089,C0471,2025-04-02,3,939,S02
T100272,P0056,C0433,2025-02-23,1,474,S04
T100273,P0056,C0302,2025-05-28,4,474,S09
T100274,P0011,C0203,2025-04-15,3,1201,S06
T100275,P0029,C0171,2025-03-14,2,323,S02
T100276,P0066,C0325,2025-06-22,1,665,S09
T100277,P0066,C0100,2025-05-30,3,665,S06
T100278,P0094,C0491,2025-04-25,2,1026,S04
T100279,P0014,C0075,2025-05-31,3,956,S04
T100280,P0023,C0309,2025-01-24,2,322,S02
T100281,P0023,C0488,2025-06-01,4,322,S08
T100282,P0097,C0289,2025-02-04,5,938,S08
T100283,P0088,C0474,2025-02-01,5,1144,S10
T100284,P0042,C0443,2025-05-23,3,981,S03
T100285,P0057,C0035,2025-01-15,4,596,S08
T100286,P0081,C0156,2025-05-07,3,856,S10
T100287,P0008,C0181,2025-05-25,5,778,S02
T100288,P0040,C0237,2025-01-25,4,725,S01
T100289,P0008,C0189,2025-03-17,3,778,S02
T100290,P0083,C0443,2025-05-06,1,1127,S10
T100291,P0077,C0260,2025-07-03,4,1210,S08
T100292,P0075,C0284,2025-02-13,1,582,S08
T100293,P0074,C0334,2025-03-21,2,1372,S06
T100294,P0078,C0244,2025-05-17,5,896,S03
T100295,P0008,C0231,2025-05-07,1,778,S06
T100296,P0092,C0044,2025-04-29,5,1212,S03
T100297,P0006,C0127,2025-02-26,4,793,S08
T100298,P0068,C0268,2025-05-28,5,992,S03
T100299,P0047,C0191,2025-01-15,3,511,S07
T100300,P0053,C0397,2025-05-08,3,982,S10
T100301,P0007,C0405,2025-05-19,3,563,S02
T100302,P0043,C0049,2025-03-20,5,716,S07
T100303,P0037,C0130,2025-01-27,5,975,S03
T100304,P0043,C0042,2025-02-07,5,716,S03
T100305,P0045,C0159,2025-04-09,4,772,S03
T100306,P0077,C0363,2025-06-05,1,1210,S05
T100307,P0072,C0193,2025-04-05,3,381,S03
T100308,P0086,C0360,2025-06-21,5,979,S02
T100309,P0083,C0344,2025-04-10,4,1127,S09
T100310,P0047,C0010,2025-05-10,3,511,S05
T100311,P0024,C0487,2025-05-15,2,572,S06
T100312,P0099,C0249,2025-06-18,2,839,S04
T100313,P0018,C0080,2025-03-25,1,673,S05
T100314,P0013,C0260,2025-04-03,5,963,S09
T100315,P0005,C0339,2025-06-13,3,711,S10
T100316,P0017,C0306,2025-06-21,4,463,S03
T100317,P0021,C0093,2025-02-22,5,1251,S03
T100318,P0093,C0225,2025-01-29,1,534,S07
T100319,P0047,C0347,2025-05-21,2,511,S08
T100320,P0079,C0146,2025-03-25,4,1241,S04
T100321,P0069,C0123,2025-04-01,3,984,S08
T100322,P0025,C0189,2025-03-09,5,1059,S08
T100323,P0060,C0394,2025-07-02,3,810,S07
T100324,P0065,C0271,2025-06-25,4,1005,S03
T100325,P0026,C0411,2025-05-13,5,1235,S03
T100326,P0033,C0027,2025-01-16,4,613,S06
T100327,P0071,C0479,2025-01-19,1,1040,S09
T100328,P0016,C0146,2025-02-10,1,809,S03
T100329,P0035,C0231,2025-05-04,5,349,S03
T100330,P0056,C0047,2025-05-13,2,474,S08
T100331,P0045,C0477,2025-03-11,1,772,S07
T100332,P0007,C0203,2025-04-22,5,563,S06
T100333,P0031,C0198,2025-03-13,1,1090,S06
T100334,P0029,C0015,2025-06-19,3,323,S02
T100335,P0092,C0333,2025-05-15,3,1212,S03
T100336,P0018,C0020,2025-01-28,3,673,S08
T100337,P0090,C0426,2025-06-29,2,1275,S08
T100338,P0058,C0316,2025-07-10,1,1052,S02
T100339,P0003,C0132,2025-02-05,2,500,S03
T100340,P0071,C0482,2025-04-08,5,1040,S09
T100341,P0055,C0057,2025-05-02,3,732,S04
T100342,P0039,C0063,2025-05-31,1,996,S04
T100343,P0054,C0328,2025-04-23,5,1115,S08
T100344,P0009,C0057,2025-07-07,4,915,S10
T100345,P0069,C0009,2025-05-26,5,984,S10
T100346,P0031,C0368,2025-05-17,2,1090,S05
T100347,P0055,C0001,2025-04-14,5,732,S06
T100348,P0031,C0293,2025-01-28,4,1090,S03
T100349,P0086,C0343,2025-06-23,1,979,S09
T100350,P0047,C0035,2025-06-18,5,511,S09
T100351,P0065,C0403,2025-02-17,5,1005,S09
T100352,P0003,C0200,2025-04-21,4,500,S01
T100353,P0082,C0199,2025-05-17,3,697,S05
T100354,P0096,C0009,2025-02-10,3,368,S02
T100355,P0045,C0124,2025-04-08,1,772,S10
T100356,P0095,C0388,2025-04-25,3,656,S03
T100357,P0006,C0181,2025-06-06,5,793,S06
T100358,P0083,C0090,2025-03-21,4,1127,S08
T100359,P0081,C0094,2025-05-07,2,856,S02
T100360,P0092,C0398,2025-01-21,4,1212,S01
T100361,P0038,C0104,2025-01-21,1,1234,S04
T100362,P0006,C0162,2025-03-28,3,793,S09
T100363,P0051,C0418,2025-01-27,5,237,S08
T100364,P0033,C0019,2025-02-18,2,613,S05
T100365,P0046,C0442,2025-06-20,1,882,S06
T100366,P0035,C0064,2025-01-15,3,349,S07
T100367,P0052,C0381,2025-07-08,4,879,S07
T100368,P0044,C0499,2025-05-22,2,1062,S08
T100369,P0089,C0255,2025-05-29,3,939,S09
T100370,P0035,C0411,2025-05-10,1,349,S07
T100371,P0011,C0221,2025-05-02,5,1201,S03
T100372,P0070,C0151,2025-06-01,3,947,S02
T100373,P0011,C0168,2025-03-31,3,1201,S05
T100374,P0058,C0309,2025-03-30,4,1052,S03
T100375,P0089,C0228,2025-01-15,3,939,S08
T100376,P0006,C0373,2025-03-27,3,793,S10
T100377,P0056,C0141,2025-06-20,1,474,S02
T100378,P0086,C0327,2025-06-18,4,979,S06
T100379,P0066,C0411,2025-06-01,2,665,S01
T100380,P0019,C0435,2025-02-15,5,1281,S08
T100381,P0005,C0065,2025-01-20,1,711,S04
T100382,P0100,C0331,2025-04-22,3,1217,S06
T100383,P0050,C0487,2025-04-30,5,1276,S01
T100384,P0078,C0079,2025-06-30,4,896,S06
T100385,P0048,C0228,2025-01-14,1,628,S10
T100386,P0018,C0272,2025-07-03,3,673,S07
T100387,P0041,C0333,2025-03-01,3,266,S04
T100388,P0015,C0014,2025-01-22,2,1074,S08
T100389,P0067,C0199,2025-02-17,5,305,S02
T100390,P0034,C0397,2025-03-28,3,790,S08
T100391,P0028,C0314,2025-02-22,3,1015,S08
T100392,P0026,C0063,2025-04-22,2,1235,S02
T100393,P0058,C0089,2025-03-07,4,1052,S02
T100394,P0088,C0496,2025-03-10,3,1144,S06
T100395,P0091,C0034,2025-07-01,5,1045,S09
T100396,P0038,C0457,2025-03-23,3,1234,S03
T100397,P0092,C0364,2025-02-15,2,1212,S06
T100398,P0066,C0115,2025-03-24,1,665,S04
T100399,P0018,C0122,2025-02-20,4,673,S01
T100400,P0047,C0284,2025-04-16,5,511,S06
T100401,P0060,C0412,2025-05-20,5,810,S03
T100402,P0079,C0453,2025-05-09,1,1241,S02
T100403,P0040,C0204,2025-06-03,4,725,S09
T100404,P0053,C0394,2025-01-26,4,982,S10
T100405,P0010,C0065,2025-03-28,3,846,S02
T100406,P0058,C0239,2025-01-24,5,1052,S06
T100407,P0017,C0450,2025-05-25,5,463,S10
T100408,P0024,C0394,2025-04-20,2,572,S07
T100409,P0065,C0467,2025-01-16,1,1005,S02
T100410,P0067,C0079,2025-02-10,3,305,S03
T100411,P0021,C0166,2025-04-09,2,1251,S06
T100412,P0067,C0459,2025-06-28,3,305,S02
T100413,P0033,C0101,2025-03-06,5,613,S05
T100414,P0017,C0321,2025-06-05,3,463,S10
T100415,P0069,C0048,2025-03-22,5,984,S03
T100416,P0076,C0483,2025-05-23,5,198,S03
T100417,P0022,C0338,2025-02-03,5,882,S10
T100418,P0044,C0432,2025-01-18,5,1062,S01
T100419,P0004,C0042,2025-06-03,1,1294,S10
T100420,P0034,C0334,2025-02-04,2,790,S10
T100421,P0054,C0317,2025-01-17,1,1115,S08
T100422,P0081,C0280,2025-04-29,3,856,S05
T100423,P0062,C0126,2025-02-11,4,735,S05
T100424,P0059,C0038,2025-06-19,1,626,S03
T100425,P0057,C0213,2025-07-06,4,596,S08
T100426,P0027,C0175,2025-02-10,5,778,S03
T100427,P0041,C0442,2025-06-13,3,266,S06
T100428,P0052,C0067,2025-02-04,3,879,S09
T100429,P0072,C0055,2025-04-22,3,381,S04
T100430,P0060,C0063,2025-05-24,3,810,S08
T100431,P0032,C0073,2025-05-18,1,302,S01
T100432,P0038,C0485,2025-05-10,4,1234,S10
T100433,P0054,C0128,2025-05-20,2,1115,S06
T100434,P0074,C0370,2025-02-01,3,1372,S04
T100435,P0098,C0082,2025-04-17,4,782,S09
T100436,P0060,C0256,2025-04-22,3,810,S08
T100437,P0003,C0047,2025-06-14,4,500,S09
T100438,P0059,C0495,2025-04-12,2,626,S04
T100439,P0075,C0181,2025-02-01,1,582,S01
T100440,P0037,C0254,2025-04-17,5,975,S08
T100441,P0037,C0275,2025-04-15,1,975,S02
T100442,P0056,C0069,2025-07-04,3,474,S06
T100443,P0098,C0207,2025-01-22,3,782,S01
T100444,P0052,C0027,2025-06-06,5,879,S09
T100445,P0025,C0186,2025-01-14,5,1059,S05
T100446,P0010,C0198,2025-03-03,5,846,S08
T100447,P0098,C0282,2025-06-01,3,782,S10
T100448,P0088,C0313,2025-05-19,1,1144,S03
T100449,P0013,C0202,2025-06-18,3,963,S06
T100450,P0072,C0481,2025-05-02,3,381,S03
T100451,P0026,C0309,2025-02-15,5,1235,S07
T100452,P0065,C0021,2025-02-23,1,1005,S01
T100453,P0018,C0366,2025-06-18,3,673,S08
T100454,P0067,C0234,2025-05-21,2,305,S10
T100455,P0066,C0072,2025-04-15,3,665,S10
T100456,P0041,C0084,2025-01-23,4,266,S10
T100457,P0095,C0432,2025-02-07,3,656,S10
T100458,P0044,C0260,2025-03-20,5,1062,S09
T100459,P0063,C0363,2025-03-30,5,735,S05
T100460,P0061,C0418,2025-03-06,1,716,S06
T100461,P0043,C0345,2025-03-13,1,716,S07
T100462,P0075,C0158,2025-06-01,1,582,S10
T100463,P0061,C0136,2025-07-08,5,716,S10
T100464,P0030,C0370,2025-03-28,1,500,S10
T100465,P0062,C0088,2025-06-15,5,735,S10
T100466,P0100,C0431,2025-03-31,4,1217,S03
T100467,P0088,C0125,2025-04-11,1,1144,S10
T100468,P0090,C0057,2025-07-04,2,1275,S01
T100469,P0057,C0161,2025-03-17,4,596,S03
T100470,P0053,C0354,2025-05-14,2,982,S07
T100471,P0065,C0397,2025-05-02,5,1005,S08
T100472,P0095,C0373,2025-06-14,1,656,S03
T100473,P0067,C0107,2025-05-31,5,305,S06
T100474,P0085,C0245,2025-05-06,5,696,S07
T100475,P0041,C0490,2025-03-31,2,266,S08
T100476,P0069,C0176,2025-03-13,5,984,S06
T100477,P0087,C0396,2025-03-04,3,1149,S10
T100478,P0062,C0099,2025-04-23,2,735,S05
T100479,P0072,C0153,2025-05-19,2,381,S05
T100480,P0099,C0148,2025-07-01,2,839,S08
T100481,P0041,C0246,2025-02-15,3,266,S09
T100482,P0093,C0141,2025-03-16,3,534,S02
T100483,P0074,C0347,2025-06-04,5,1372,S07
T100484,P0051,C0420,2025-02-06,3,237,S03
T100485,P0038,C0022,2025-05-09,3,1234,S02
T100486,P0045,C0474,2025-03-21,4,772,S05
T100487,P0096,C0246,2025-03-17,2,368,S04
T100488,P0069,C0139,2025-03-31,5,984,S05
T100489,P0018,C0056,2025-03-05,5,673,S10
T100490,P0031,C0125,2025-03-18,1,1090,S09
T100491,P0029,C0327,2025-03-27,2,323,S01
T100492,P0013,C0212,2025-04-06,3,963,S08
T100493,P0013,C0349,2025-05-05,2,963,S01
T100494,P0071,C0476,2025-02-19,2,1040,S07
T100495,P0084,C0479,2025-07-10,4,847,S08
T100496,P0084,C0103,2025-03-23,3,847,S06
T100497,P0037,C0331,2025-02-18,1,975,S02
T100498,P0084,C0294,2025-01-14,2,847,S09
T100499,P0095,C0371,2025-07-02,1,656,S03
T100500,P0054,C0452,2025-03-19,2,1115,S01
T100501,P0051,C0404,2025-02-22,4,237,S03
T100502,P0096,C0493,2025-03-05,3,368,S01
T100503,P0002,C0153,2025-02-16,5,736,S10
T100504,P0014,C0476,2025-05-10,3,956,S05
T100505,P0059,C0329,2025-03-18,5,626,S09
T100506,P0064,C0456,2025-03-14,2,920,S09
T100507,P0060,C0140,2025-04-20,2,810,S02
T100508,P0043,C0084,2025-07-09,4,716,S05
T100509,P0092,C0096,2025-03-07,1,1212,S06
T100510,P0038,C0291,2025-05-22,2,1234,S03
T100511,P0079,C0439,2025-02-10,4,1241,S07
T100512,P0066,C0168,2025-02-06,1,665,S07
T100513,P0086,C0049,2025-07-05,2,979,S03
T100514,P0062,C0166,2025-05-15,2,735,S01
T100515,P0034,C0197,2025-02-26,2,790,S08
T100516,P0097,C0137,2025-05-07,3,938,S05
T100517,P0075,C0371,2025-05-10,5,582,S01
T100518,P0034,C0335,2025-05-01,3,790,S04
T100519,P0008,C0342,2025-05-21,1,778,S08
T100520,P0040,C0082,2025-06-07,4,725,S09
T100521,P0091,C0395,2025-05-01,3,1045,S02
T100522,P0082,C0470,2025-04-12,3,697,S06
T100523,P0079,C0114,2025-02-21,2,1241,S03
T100524,P0062,C0079,2025-02-04,4,735,S10
T100525,P0048,C0213,2025-06-06,5,628,S08
T100526,P0097,C0276,2025-04-29,2,938,S04
T100527,P0088,C0387,2025-02-03,5,1144,S02
T100528,P0068,C0229,2025-03-19,5,992,S06
